## Audio-driven

| Year | Title                                                        | Conference/Journal                                           | Code                                                         | Project                                                      | Keywords                                                     |
| ---- | ------------------------------------------------------------ | ------------------------------------------------------------ | ------------------------------------------------------------ | ------------------------------------------------------------ | ------------------------------------------------------------ |

| 2026 | [Talking Together: Synthesizing Co-Located 3D Conversations from Audio](https://arxiv.org/abs/2603.08674v1) | Accepted to CVPR 2026 |  |  | 3D, Audio-Driven, Talking Head, CVPR, Attention |
| 2026 | [Bootstrapping Audiovisual Speech Recognition in Zero-AV-Resource Scenarios with Synthetic Visual Data](https://arxiv.org/abs/2603.08249v1) | 6 pages, 3 figures, Submitted to Interspeech 2026 |  |  | Audio-Driven, Speech-Driven |
| 2026 | [Deepfake Generation and Detection: A Benchmark and Survey](https://arxiv.org/abs/2403.17881v5) | ArXiv 2026 | [Code](https://github.com/flyingby/Awesome-Deepfake-Generation-and-Detection) | [Project](https://github.com/flyingby/Awesome-Deepfake-Generation-and-Detection) | Talking Head |
| 2026 | [Text-Driven Emotionally Continuous Talking Face Generation](https://arxiv.org/abs/2603.06071v1) | ArXiv 2026 |  |  | Emotional, Talking Head |
| 2026 | [TempoSyncDiff: Distilled Temporally-Consistent Diffusion for Low-Latency Audio-Driven Talking Head Generation](https://arxiv.org/abs/2603.06057v1) | ArXiv 2026 | [Code](https://mazumdarsoumya.github.io/TempoSyncDiff) | [Project](https://mazumdarsoumya.github.io/TempoSyncDiff) | Diffusion, Audio-Driven, Talking Head, VAE, Latent |
| 2026 | [Learning to Generate Conditional Tri-plane for 3D-aware Expression Controllable Portrait Animation](https://arxiv.org/abs/2404.00636v4) | ECCV 2024. Project page: https://export3d.github.io |  | [Project](https://export3d.github.io) | 3D, Portrait Animation, ECCV, One-Shot |
| 2026 | [UniTalking: A Unified Audio-Video Framework for Talking Portrait Generation](https://arxiv.org/abs/2603.01418v1) | Accepted at CVPR 2026 (Findings Track) |  |  | Audio-Driven, Portrait Animation, Talking Head, CVPR, Transformer, Attention |
| 2026 | [RAP: Real-time Audio-driven Portrait Animation with Video Diffusion Transformer](https://arxiv.org/abs/2508.05115v2) | 11 pages, 9 figures |  |  | Diffusion, Real-time, Audio-Driven, Portrait Animation, Attention, Latent |
| 2026 | [FlowPortrait: Reinforcement Learning for Audio-Driven Portrait Video Generation](https://arxiv.org/abs/2603.00159v1) | ArXiv 2026 |  |  | Audio-Driven, Portrait Animation, Reinforcement Learning, GRPO |
| 2026 | [Narrating For You: Prompt-guided Audio-visual Narrating Face Generation Employing Multi-entangled Latent Space](https://arxiv.org/abs/2602.18618v1) | To appear in the Proceedings of the IEEE/CVF Winter Conference on Applications of Computer Vision (WACV) 2026. Presented at Poster Session 1 |  |  | Audio-Driven, WACV, Latent |
| 2026 | [VineetVC: Adaptive Video Conferencing Under Severe Bandwidth Constraints Using Audio-Driven Talking-Head Reconstruction](https://arxiv.org/abs/2602.12758v1) | ArXiv 2026 |  |  | Audio-Driven, Talking Head |
